               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.039381,            0.023838,           0.0014473,               0.585,             0.65863,             0.67855,             0.34707,            0.032089,            0.014097,          0.00031647,            0.006535,            0.006535,            0.006535
                  37,             0.03953,            0.023767,           0.0013358,             0.64974,             0.66073,             0.68079,              0.3679,              0.0319,            0.013885,          0.00034406,            0.006436,            0.006436,            0.006436
                  38,            0.038954,             0.02346,           0.0013092,             0.60387,             0.71028,             0.72278,             0.37332,            0.032359,            0.013758,          0.00027546,            0.006337,            0.006337,            0.006337
                  39,            0.038972,              0.0235,           0.0012485,             0.65315,             0.71833,             0.71058,             0.38386,            0.031499,            0.013688,          0.00027792,            0.006238,            0.006238,            0.006238
                  40,            0.038843,            0.023285,           0.0014211,             0.72055,             0.66609,             0.73184,             0.39275,            0.031733,            0.013609,          0.00022246,            0.006139,            0.006139,            0.006139
                  41,            0.038678,            0.024015,           0.0012285,             0.71569,             0.60314,             0.70591,             0.38808,            0.031598,            0.013531,          0.00019191,             0.00604,             0.00604,             0.00604
                  42,              0.0386,            0.023178,            0.001314,             0.64336,             0.69542,             0.72323,             0.38238,            0.031958,            0.013407,          0.00021579,            0.005941,            0.005941,            0.005941
                  43,            0.039093,            0.023259,           0.0011796,             0.71358,              0.6437,             0.72057,             0.37288,            0.032004,            0.013746,          0.00019751,            0.005842,            0.005842,            0.005842
                  44,            0.038459,            0.023477,           0.0011945,             0.66847,             0.68102,             0.73624,             0.40407,            0.030986,            0.013568,           0.0002636,            0.005743,            0.005743,            0.005743
                  45,            0.037895,            0.023173,           0.0011371,             0.67621,             0.68289,             0.73601,             0.40675,            0.031177,            0.013544,          0.00019937,            0.005644,            0.005644,            0.005644
                  46,            0.038434,            0.023105,           0.0011831,             0.68695,             0.72085,             0.72568,             0.38751,            0.031207,            0.013525,          0.00033405,            0.005545,            0.005545,            0.005545
                  47,            0.037942,            0.023346,           0.0011982,             0.68048,             0.70446,             0.76077,             0.41233,            0.030724,            0.013372,          0.00036257,            0.005446,            0.005446,            0.005446
                  48,            0.037669,            0.022736,           0.0011749,             0.74816,             0.71201,             0.76965,             0.41473,            0.031485,            0.013224,          0.00022475,            0.005347,            0.005347,            0.005347
                  49,            0.037273,            0.022853,          0.00096764,             0.70091,             0.68207,             0.74939,             0.42044,            0.030544,            0.013068,          0.00021899,            0.005248,            0.005248,            0.005248
                  50,            0.037473,            0.022407,           0.0010485,             0.72539,             0.75806,             0.78322,             0.44068,            0.029927,            0.012973,          0.00019699,            0.005149,            0.005149,            0.005149
                  51,            0.037494,            0.022908,           0.0010021,             0.74189,             0.74973,             0.78702,             0.44115,            0.029971,            0.012841,          0.00015782,             0.00505,             0.00505,             0.00505
                  52,            0.037208,            0.023091,          0.00093686,             0.67459,             0.77593,             0.76416,             0.42293,            0.030377,            0.013251,          0.00016536,            0.004951,            0.004951,            0.004951
                  53,            0.037488,            0.022819,           0.0011249,             0.64164,             0.72905,             0.76331,             0.42479,            0.030443,            0.012975,          0.00015364,            0.004852,            0.004852,            0.004852
                  54,            0.037337,            0.023115,           0.0010522,             0.73854,             0.75038,             0.80816,             0.45898,             0.02952,            0.012613,          0.00015384,            0.004753,            0.004753,            0.004753
                  55,            0.037021,            0.022614,          0.00099802,             0.74402,             0.67044,             0.72693,             0.43098,            0.029746,            0.013039,          0.00016535,            0.004654,            0.004654,            0.004654
                  56,            0.036688,            0.022596,           0.0009897,             0.75568,             0.65863,              0.7615,             0.41945,            0.029718,            0.012983,          0.00017239,            0.004555,            0.004555,            0.004555
                  57,            0.036837,            0.022437,          0.00096946,             0.63254,             0.77593,             0.75544,             0.43581,            0.029449,             0.01281,          0.00015553,            0.004456,            0.004456,            0.004456
                  58,            0.036271,            0.022463,          0.00099994,             0.71077,             0.73869,             0.76558,             0.42279,            0.029871,            0.013095,          0.00015411,            0.004357,            0.004357,            0.004357
                  59,            0.036529,            0.022535,          0.00091597,              0.7009,             0.77488,             0.77517,             0.44734,            0.028708,            0.012638,            0.000154,            0.004258,            0.004258,            0.004258
                  60,            0.036051,            0.022191,          0.00094102,             0.72051,             0.72474,             0.76716,             0.44418,             0.02934,            0.012771,          0.00017445,            0.004159,            0.004159,            0.004159
                  61,              0.0358,            0.022259,          0.00082816,              0.7198,             0.70982,             0.75905,             0.44003,             0.02886,            0.012883,          0.00014389,             0.00406,             0.00406,             0.00406
                  62,            0.036197,            0.022058,          0.00090103,             0.69978,             0.71517,             0.76496,             0.44826,            0.028054,            0.012833,          0.00016678,            0.003961,            0.003961,            0.003961
                  63,            0.035572,            0.022332,          0.00075657,              0.7744,             0.71623,             0.80154,             0.47526,            0.028357,            0.012492,           0.0001583,            0.003862,            0.003862,            0.003862
                  64,            0.035776,            0.021994,          0.00082664,              0.7609,              0.7312,             0.81122,              0.4736,            0.027924,            0.012441,          0.00014499,            0.003763,            0.003763,            0.003763
                  65,            0.035806,            0.022262,          0.00092628,              0.7568,             0.72264,             0.79349,             0.47073,            0.028644,            0.012312,          0.00015533,            0.003664,            0.003664,            0.003664
                  66,            0.035334,            0.021993,          0.00071191,             0.72284,             0.77021,             0.79983,             0.46933,            0.028049,            0.012274,          0.00013654,            0.003565,            0.003565,            0.003565
                  67,            0.035445,            0.021995,          0.00086563,             0.73459,             0.80859,              0.8043,             0.47398,             0.02761,            0.012225,          0.00013004,            0.003466,            0.003466,            0.003466
                  68,            0.035429,            0.021985,           0.0008016,             0.80644,             0.76961,             0.82746,             0.49084,            0.027181,            0.012035,          0.00015017,            0.003367,            0.003367,            0.003367
                  69,            0.035105,             0.02192,          0.00079989,             0.79415,             0.77937,             0.82305,             0.48052,            0.027659,            0.011932,          0.00015076,            0.003268,            0.003268,            0.003268
                  70,            0.035149,            0.021936,          0.00075425,             0.77497,             0.78559,             0.84198,             0.49981,            0.027422,            0.011749,          0.00013671,            0.003169,            0.003169,            0.003169
                  71,             0.03502,            0.021622,          0.00069868,             0.83121,             0.75679,             0.85105,             0.50539,            0.027126,            0.011864,           0.0001363,             0.00307,             0.00307,             0.00307
                  72,            0.035044,            0.021432,          0.00080736,             0.74368,             0.82571,             0.83422,             0.51004,            0.027041,            0.011546,          0.00015227,            0.002971,            0.002971,            0.002971
                  73,            0.034615,            0.021511,          0.00067204,             0.73437,             0.77067,             0.80507,             0.49284,            0.027204,            0.011812,          0.00014944,            0.002872,            0.002872,            0.002872
                  74,            0.034355,            0.021818,           0.0008315,             0.72764,             0.80587,             0.84883,             0.50405,            0.027017,            0.011671,          0.00012708,            0.002773,            0.002773,            0.002773
                  75,            0.034681,            0.021164,          0.00079867,             0.80539,             0.71307,             0.83794,             0.48613,            0.027982,            0.011914,          0.00017135,            0.002674,            0.002674,            0.002674
                  76,            0.034199,            0.021005,          0.00061318,             0.74898,             0.77813,             0.85354,             0.50253,            0.027404,            0.011627,          0.00011085,            0.002575,            0.002575,            0.002575
                  77,            0.034043,            0.021221,          0.00088914,             0.80262,             0.76732,             0.87207,              0.5225,            0.026605,            0.011703,          0.00011027,            0.002476,            0.002476,            0.002476
                  78,            0.034107,            0.021405,          0.00062262,             0.74792,             0.81946,             0.85615,              0.5194,             0.02664,            0.011626,          0.00010491,            0.002377,            0.002377,            0.002377
                  79,            0.033576,            0.021151,          0.00066945,             0.75992,             0.82801,             0.84302,             0.51343,            0.026151,            0.011796,          0.00012646,            0.002278,            0.002278,            0.002278
                  80,            0.033724,            0.020802,          0.00071656,             0.76942,             0.82739,             0.84552,             0.52106,            0.025879,            0.011633,           0.0001048,            0.002179,            0.002179,            0.002179
                  81,            0.033505,            0.020782,          0.00057356,             0.77922,             0.79953,             0.85661,             0.53123,            0.026004,            0.011504,            0.000109,             0.00208,             0.00208,             0.00208
                  82,            0.033636,            0.020432,          0.00064983,             0.74817,             0.82224,             0.84812,             0.52576,            0.026038,             0.01154,           0.0001094,            0.001981,            0.001981,            0.001981
                  83,            0.033429,            0.020758,           0.0005567,             0.76084,             0.80798,             0.85957,             0.53449,            0.025661,            0.011477,          0.00010432,            0.001882,            0.001882,            0.001882
                  84,            0.033144,            0.020473,          0.00057967,             0.77117,             0.86558,             0.88216,             0.55482,            0.025723,            0.011088,          0.00010758,            0.001783,            0.001783,            0.001783
                  85,            0.033081,            0.020367,          0.00059476,             0.78074,             0.85524,             0.88082,             0.54687,            0.026113,            0.011039,          0.00010222,            0.001684,            0.001684,            0.001684
                  86,            0.032603,            0.020394,          0.00068952,             0.78569,             0.81707,             0.87787,             0.56222,            0.025444,            0.011046,          9.5589e-05,            0.001585,            0.001585,            0.001585
